cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	post_return_richness	post_migration_richness	realized_host_feedback	expected_host_feedback_after_migration	migration_replacement_count	realized_migration_fraction	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0003	c0003	sb0002	3	100	0.9474753426629977	100	100	0.5	0.45	100000000	0.1	3.4	0.5220004063381426
p01-s01-c0003	c0003	sb0002	4	100	0.9502564328510942	100	100	0.5	0.45	100000000	0.1	3.26	0.521893004202494
p01-s01-c0003	c0003	sb0002	5	100	0.950055928215369	100	100	0.5	0.45	100000000	0.1	3.31	0.5049177896836636
p01-s01-c0003	c0003	sb0003	0	100	0.9549670784452735								
p01-s01-c0003	c0003	sb0003	1	100	0.9536137430065299	100	100	0.5	0.45	100000000	0.1	3.54	0.5322567302503729
p01-s01-c0003	c0003	sb0003	2	100	0.9541935383748023	100	100	0.5	0.45	100000000	0.1	3.46	0.5614444621239629
p01-s01-c0003	c0003	sb0003	3	100	0.9557675762571077	100	100	0.5	0.45	100000000	0.1	3.54	0.550654131206414
p01-s01-c0003	c0003	sb0003	4	100	0.9558326088915698	100	100	0.5	0.45	100000000	0.1	3.56	0.5484388197694209
p01-s01-c0003	c0003	sb0003	5	100	0.9527352847936895	100	100	0.5	0.45	100000000	0.1	3.23	0.5058688255438382
p01-s01-c0004	c0004	sb0001	0	100	0.9549670784452735								
p01-s01-c0004	c0004	sb0001	1	100	0.955109799699431	100	100	0.5	0.45	100000000	0.1	3.414	0.5359495507453443
p01-s01-c0004	c0004	sb0001	2	100	0.9555707652573182	100	100	0.5	0.45	100000000	0.1	3.422	0.5341115544075272
p01-s01-c0004	c0004	sb0001	3	100	0.9554696982752203	100	100	0.5	0.45	100000000	0.1	3.455	0.5359896612748356
p01-s01-c0004	c0004	sb0001	4	100	0.9552376503382959	100	100	0.5	0.45	100000000	0.1	3.387	0.5346529802164202
p01-s01-c0004	c0004	sb0001	5	100	0.9537767714073039	100	100	0.5	0.45	100000000	0.1	3.414	0.5356946402855305
p01-s01-c0004	c0004	sb0002	0	100	0.9549670784452735								
p01-s01-c0004	c0004	sb0002	1	100	0.9550853487619493	100	100	0.5	0.45	100000000	0.1	3.357	0.5226472241291579
p01-s01-c0004	c0004	sb0002	2	100	0.9556077910552363	100	100	0.5	0.45	100000000	0.1	3.439	0.5447225537807416
p01-s01-c0004	c0004	sb0002	3	100	0.954782788621805	100	100	0.5	0.45	100000000	0.1	3.401	0.5324872466773494
p01-s01-c0004	c0004	sb0002	4	100	0.9551867385315091	100	100	0.5	0.45	100000000	0.1	3.393	0.5349553365902098
p01-s01-c0004	c0004	sb0002	5	100	0.9546308438774707	100	100	0.5	0.45	100000000	0.1	3.417	0.5318571830022133
p01-s01-c0004	c0004	sb0003	0	100	0.9549670784452735								
p01-s01-c0004	c0004	sb0003	1	100	0.9545980264688341	100	100	0.5	0.45	100000000	0.1	3.441	0.5259791297793414
p01-s01-c0004	c0004	sb0003	2	100	0.9541135997283883	100	100	0.5	0.45	100000000	0.1	3.344	0.5282399964739494
p01-s01-c0004	c0004	sb0003	3	100	0.9535411521229885	100	100	0.5	0.45	100000000	0.1	3.396	0.5242134110779053
p01-s01-c0004	c0004	sb0003	4	100	0.9532132511945867	100	100	0.5	0.45	100000000	0.1	3.468	0.5399154217102673
p01-s01-c0004	c0004	sb0003	5	100	0.9529243545185623	100	100	0.5	0.45	100000000	0.1	3.358	0.5335634487188331
p01-s01-c0005	c0005	sb0001	0	100	0.9549670784452735								
p01-s01-c0005	c0005	sb0001	1	100	0.9549696588254085	100	100	0.5	0.45	100000000	0.1	3.406	0.5306909406553222
p01-s01-c0005	c0005	sb0001	2	100	0.9548656110593967	100	100	0.5	0.45	100000000	0.1	3.3992	0.5303317297635229
p01-s01-c0005	c0005	sb0001	3	100	0.9547511602922493	100	100	0.5	0.45	100000000	0.1	3.4046	0.5321168297463885
p01-s01-c0005	c0005	sb0001	4	100	0.9548879437502295	100	100	0.5	0.45	100000000	0.1	3.41	0.5318662472068044
p01-s01-c0005	c0005	sb0001	5	100	0.9551956364954941	100	100	0.5	0.45	100000000	0.1	3.4097	0.5339880680112216
p01-s01-c0005	c0005	sb0002	0	100	0.9549670784452735								
p01-s01-c0005	c0005	sb0002	1	100	0.9547801218203547	100	100	0.5	0.45	100000000	0.1	3.3989	0.530827960288639
p01-s01-c0005	c0005	sb0002	2	100	0.9547173649970696	100	100	0.5	0.45	100000000	0.1	3.4107	0.5349433065129892
p01-s01-c0005	c0005	sb0002	3	100	0.9546897306421482	100	100	0.5	0.45	100000000	0.1	3.4096	0.532691138642571
p01-s01-c0005	c0005	sb0002	4	100	0.9546819729372329	100	100	0.5	0.45	100000000	0.1	3.4117	0.5350438504503757
p01-s01-c0005	c0005	sb0002	5	100	0.9546708629849413	100	100	0.5	0.45	100000000	0.1	3.4114	0.5354361346695595
p01-s01-c0005	c0005	sb0003	0	100	0.9549670784452735								
p01-s01-c0005	c0005	sb0003	1	100	0.954993192804406	100	100	0.5	0.45	100000000	0.1	3.4078	0.5325930450817709
p01-s01-c0005	c0005	sb0003	2	100	0.9548762726263036	100	100	0.5	0.45	100000000	0.1	3.3863	0.5304343787612646
p01-s01-c0005	c0005	sb0003	3	100	0.9550469291314855	100	100	0.5	0.45	100000000	0.1	3.4119	0.5364845454591044
p01-s01-c0005	c0005	sb0003	4	100	0.9553837205375841	100	100	0.5	0.45	100000000	0.1	3.4119	0.5349214749508389
p01-s01-c0005	c0005	sb0003	5	100	0.9552057300267347	100	100	0.5	0.45	100000000	0.1	3.3936	0.5326656725815937
p01-s01-c0006	c0006	sb0001	0	100	0.9549670784452735								
p01-s01-c0006	c0006	sb0001	1	100	0.9549821697641088	100	100	0.5	0.45	100000000	0.1	3.40661	0.533457819871074
p01-s01-c0006	c0006	sb0001	2	100	0.954899739394321	100	100	0.5	0.45	100000000	0.1	3.4048	0.5328955970611181
p01-s01-c0006	c0006	sb0001	3	100	0.9548855351255855	100	100	0.5	0.45	100000000	0.1	3.40414	0.5340168055833621
p01-s01-c0006	c0006	sb0001	4	100	0.9549401779047219	100	100	0.5	0.45	100000000	0.1	3.40022	0.53319547097516
p01-s01-c0006	c0006	sb0001	5	100	0.9549320772137007	100	100	0.5	0.45	100000000	0.1	3.40216	0.532724677659993
p01-s01-c0006	c0006	sb0002	0	100	0.9549670784452735								
p01-s01-c0006	c0006	sb0002	1	100	0.9549367388997114	100	100	0.5	0.45	100000000	0.1	3.40797	0.53360952446322
p01-s01-c0006	c0006	sb0002	2	100	0.9550304188959173	100	100	0.5	0.45	100000000	0.1	3.40486	0.5332880052705136
p01-s01-c0006	c0006	sb0002	3	100	0.9549340445218271	100	100	0.5	0.45	100000000	0.1	3.40437	0.5332257033591736
p01-s01-c0006	c0006	sb0002	4	100	0.9549686404696759	100	100	0.5	0.45	100000000	0.1	3.40369	0.5329518925621132
p01-s01-c0006	c0006	sb0002	5	100	0.9549908427140339	100	100	0.5	0.45	100000000	0.1	3.40331	0.5340521721548859
p01-s01-c0006	c0006	sb0003	0	100	0.9549670784452735								
p01-s01-c0006	c0006	sb0003	1	100	0.9549997921521924	100	100	0.5	0.45	100000000	0.1	3.40705	0.5334438022553342
p01-s01-c0006	c0006	sb0003	2	100	0.9549786737491419	100	100	0.5	0.45	100000000	0.1	3.40075	0.533657540365544
p01-s01-c0006	c0006	sb0003	3	100	0.9549347234490024	100	100	0.5	0.45	100000000	0.1	3.40822	0.5339697807851647
p01-s01-c0006	c0006	sb0003	4	100	0.9549956580212414	100	100	0.5	0.45	100000000	0.1	3.40822	0.5338080622412343
p01-s01-c0006	c0006	sb0003	5	100	0.9550052405657885	100	100	0.5	0.45	100000000	0.1	3.40284	0.533502546501916
p01-s01-c0007	c0007	sb0001	0	100	0.9549670784452735								
p01-s01-c0007	c0007	sb0001	1	100	0.9566270803755802	100	100	0.5	0.45	100000000	0.1	3.4	0.5185475771036805
p01-s01-c0007	c0007	sb0001	2	100	0.9576871802578265	100	100	0.5	0.45	100000000	0.1	3.48	0.5291430693294054
p01-s01-c0007	c0007	sb0001	3	100	0.9531792001358227	100	100	0.5	0.45	100000000	0.1	3.36	0.524548365631573
p01-s01-c0007	c0007	sb0001	4	100	0.9523340431395612	100	100	0.5	0.45	100000000	0.1	3.34	0.539946172063539
p01-s01-c0007	c0007	sb0001	5	101	0.9501556721288784	102	101	0.5	0.45	100000000	0.1	3.32	0.5315296496191058
p01-s01-c0007	c0007	sb0002	0	100	0.9549670784452735								
p01-s01-c0007	c0007	sb0002	1	100	0.9550607994232054	100	100	0.5	0.45	100000000	0.1	3.43	0.5144056598782694
p01-s01-c0007	c0007	sb0002	2	100	0.9583281079323294	100	100	0.5	0.45	100000000	0.1	3.45	0.5224505114893286
p01-s01-c0007	c0007	sb0002	3	102	0.9569105406187863	102	102	0.5	0.45	100000000	0.1	3.48	0.52379401348889
p01-s01-c0007	c0007	sb0002	4	101	0.9579324802515652	101	101	0.5	0.45	100000000	0.1	3.49	0.5404604912168514
p01-s01-c0007	c0007	sb0002	5	101	0.95675976135324	101	101	0.5	0.45	100000000	0.1	3.58	0.5553849034706242
p01-s01-c0007	c0007	sb0003	0	100	0.9549670784452735								
p01-s01-c0007	c0007	sb0003	1	100	0.955097276176896	100	100	0.5	0.45	100000000	0.1	3.72	0.5461679517769539
p01-s01-c0007	c0007	sb0003	2	100	0.9570052265308487	100	100	0.5	0.45	100000000	0.1	3.23	0.5174832460330048
p01-s01-c0007	c0007	sb0003	3	100	0.9590891323525089	100	100	0.5	0.45	100000000	0.1	3.53	0.5404924092710539
p01-s01-c0007	c0007	sb0003	4	101	0.9575700928899287	101	101	0.5	0.45	100000000	0.1	3.4	0.5325759595426509
p01-s01-c0007	c0007	sb0003	5	102	0.9573456113260131	102	102	0.5	0.45	100000000	0.1	3.34	0.5033538459159603
p01-s01-c0008	c0008	sb0001	0	100	0.9549670784452735								
p01-s01-c0008	c0008	sb0001	1	103	0.9566272630678248	103	103	0.5	0.45	100000000	0.1	3.49	0.5185166401482217
p01-s01-c0008	c0008	sb0001	2	101	0.9576862995659394	102	101	0.5	0.45	100000000	0.1	3.63	0.5291511377968919
p01-s01-c0008	c0008	sb0001	3	105	0.953179564069512	105	105	0.5	0.45	100000000	0.1	3.5	0.5245639392461449
p01-s01-c0008	c0008	sb0001	4	105	0.9523358560767843	106	105	0.5	0.45	100000000	0.1	3.46	0.5399624929914811
p01-s01-c0008	c0008	sb0001	5	102	0.9501549402707558	104	102	0.5	0.45	100000000	0.1	3.42	0.5315237750942048
p01-s01-c0008	c0008	sb0002	0	100	0.9549670784452735								
p01-s01-c0008	c0008	sb0002	1	100	0.9550615704229825	100	100	0.5	0.45	100000000	0.1	3.52	0.5144114059796109
p01-s01-c0008	c0008	sb0002	2	101	0.9583279147357275	102	101	0.5	0.45	100000000	0.1	3.6	0.5224594059281169
p01-s01-c0008	c0008	sb0002	3	103	0.9569106929431943	105	103	0.5	0.45	100000000	0.1	3.54	0.523796313163738
p01-s01-c0008	c0008	sb0002	4	100	0.9579333683154927	102	100	0.5	0.45	100000000	0.1	3.62	0.5404484889973619
p01-s01-c0008	c0008	sb0002	5	103	0.9567592458482876	103	103	0.5	0.45	100000000	0.1	3.64	0.5553788096833632
p01-s01-c0008	c0008	sb0003	0	100	0.9549670784452735								
p01-s01-c0008	c0008	sb0003	1	101	0.9550968265619173	101	101	0.5	0.45	100000000	0.1	3.79	0.54618526066885
p01-s01-c0008	c0008	sb0003	2	103	0.95700568611364	103	103	0.5	0.45	100000000	0.1	3.33	0.5175045495227285
p01-s01-c0008	c0008	sb0003	3	106	0.9590886048077948	106	106	0.5	0.45	100000000	0.1	3.61	0.5404926914631054
p01-s01-c0008	c0008	sb0003	4	107	0.9575705747592693	107	107	0.5	0.45	100000000	0.1	3.5	0.5325692591962673
p01-s01-c0008	c0008	sb0003	5	107	0.9573466386654245	107	107	0.5	0.45	100000000	0.1	3.49	0.5033707549102828
p01-s01-c0009	c0009	sb0001	0	100	0.9549670784452735								
p01-s01-c0009	c0009	sb0001	1	111	0.9566261913294378	114	111	0.5	0.45	100000000	0.1	4.45	0.5185482674259199
p01-s01-c0009	c0009	sb0001	2	124	0.9576859555007619	127	124	0.5	0.45	100000000	0.1	4.5	0.5291488543862293
