run_id	cell_id	cell	seed_block_id	generation	D0	shannon	simpson	D1	D2	evenness	TV	root_D0	root_D1	root_D2	mutant_richness	mutant_abundance_fraction	H	f	alpha	u	m	source_role	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	100	100	3.533053833063303	0.9549670426007716	34.22833579569769	22.205958874402807	0.7671928919832625	8.507099999999508e-05	100	34.22833579569769	22.205958874402807	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22738605038078	0.0009100165293006088	22.205618838380996	0.0008363240862276823	0.7671868665658376	5.773385691276187e-06	8.44816599999969e-05	8.291328808622501e-06
p01-s02-c0021-v210-m010-g250-sb0002	p01-s02-c0021	c0021	sb0002	100	100	3.5330219770271927	0.9549657045742795	34.22724543396397	22.20529910697502	0.7671859745329135	9.312800000000116e-05	100	34.22724543396397	22.20529910697502	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.2280110523577	0.0013706945320763977	22.205937078677724	0.0011492192989062408	0.767190831605694	8.695773716426933e-06	9.747862000000142e-05	7.997872813850596e-06
p01-s02-c0021-v210-m010-g250-sb0003	p01-s02-c0021	c0021	sb0003	100	100	3.533059440860462	0.9549658670965111	34.22852774180012	22.205379242963698	0.7671941097009434	8.576499999999175e-05	100	34.22852774180012	22.205379242963698	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22798345971242	0.0010223039549290879	22.20601126285603	0.000859099292724603	0.7671906566297761	6.485652015799008e-06	9.365317999999777e-05	7.374825927215734e-06
p01-s02-c0021-v210-m010-g250-sb0004	p01-s02-c0021	c0021	sb0004	100	100	3.5331016597481475	0.954971190911999	34.22997286267397	22.208004614238686	0.7672032774159203	9.331199999999948e-05	100	34.22997286267397	22.208004614238686	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22833112066183	0.0012712871573557565	22.20650622848325	0.0009504160736302202	0.7671928621776862	8.065188135065232e-06	8.938153999999862e-05	7.1927028532457715e-06
p01-s02-c0021-v210-m010-g250-sb0005	p01-s02-c0021	c0021	sb0005	100	100	3.533050656840817	0.9549676340234208	34.22822707906053	22.20625051146742	0.767192202275313	8.238799999999395e-05	100	34.22822707906053	22.20625051146742	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22805071970339	0.0008075290953531369	22.206139432532467	0.0007225595400983531	0.7671910833720892	5.123053167480424e-06	8.245952000000275e-05	8.13950169522428e-06
p01-s02-c0021-v210-m010-g250-sb0006	p01-s02-c0021	c0021	sb0006	100	100	3.5331093099683946	0.9549708324047035	34.23023473050709	22.207827801472693	0.7672049386401397	8.920699999999274e-05	100	34.23023473050709	22.207827801472693	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22805977530058	0.0010140255853111264	22.206138279168076	0.0006924650872844847	0.7671911407878139	6.433184606184801e-06	8.849465999999858e-05	1.0962052170100176e-05
p01-s02-c0021-v210-m010-g250-sb0007	p01-s02-c0021	c0021	sb0007	100	100	3.5329965024555707	0.9549647572747479	34.226373520654604	22.20483202679139	0.7671804427999713	8.49470000000108e-05	100	34.226373520654604	22.20483202679139	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22796222326098	0.0009815419875165686	22.205869405347507	0.0006553774249726784	0.7671905219100543	6.227131428173157e-06	8.691598000000266e-05	9.3642840001989e-06
p01-s02-c0021-v210-m010-g250-sb0008	p01-s02-c0021	c0021	sb0008	100	100	3.532997178535454	0.9549653963855806	34.22639666042504	22.2051471477772	0.7671805896088526	9.253500000000058e-05	100	34.22639666042504	22.2051471477772	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22717201149072	0.0011813754296902822	22.205546147050235	0.001066593819067661	0.7671855085928975	7.495028478768876e-06	9.328757999999794e-05	6.367092371638514e-06
p01-s02-c0021-v210-m010-g250-sb0009	p01-s02-c0021	c0021	sb0009	100	100	3.5329927582181178	0.9549632173053892	34.2262453692249	22.20407276383141	0.767179629749139	0.00011024200000001741	100	34.2262453692249	22.20407276383141	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22743350826557	0.0012522784855869395	22.20585124234776	0.0011237542031885086	0.7671871675833034	7.944708048453799e-06	9.905577999999835e-05	8.495397892905077e-06
p01-s02-c0021-v210-m010-g250-sb0010	p01-s02-c0021	c0021	sb0010	100	100	3.5330659528427693	0.9549675903472349	34.22875063809292	22.206228973993987	0.7671955237599345	0.00010895699999999503	100	34.22875063809292	22.206228973993987	0	0.0	100	0	0	0	0.1	reused-control	100.0	0.0	34.22796273805551	0.0009285638704745578	22.205850126520215	0.0006037085131241948	0.7671905251851789	5.8909464975818975e-06	8.745273999999912e-05	1.0481857601004046e-05
