seed_block_id	master_seed	use
sb0001	666	exploratory matched population; shared with Waves 1 and 2
sb0002	667	exploratory matched population; shared with Waves 1 and 2
sb0003	668	exploratory matched population; shared with Waves 1 and 2
sb0004	669	exploratory matched population; shared with Waves 1 and 2
sb0005	670	exploratory matched population; shared with Waves 1 and 2
sb0006	671	exploratory matched population; shared with Waves 1 and 2
