seed_block_id	master_seed	within_run_replicate_index	use
sb0001	666	0	matched exploratory replicate; reused from the original pilot
sb0002	667	0	matched exploratory replicate; reused from the original pilot
sb0003	668	0	matched exploratory replicate; reused from the original pilot
