run_id	cell_id	cell	seed_block_id	generation	feedback_exposure	D0	shannon	D1	D2	evenness	top_frequency	TV	jensen_shannon	turnover	mutant_richness	mutant_abundance_fraction	root_D0	root_D1	root_D2	root_evenness	mean_adult_richness	mean_adult_gene_diversity	realized_host_feedback	expected_host_feedback_after_migration
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	0	0.0	100	3.5330417033688466	34.227920618960724	22.205976549506016	0.7671902580535777	0.093442162	0.0	0.0	0.0	0	0.0	100	34.227920618960724	22.205976549506016	0.7671902580535777				
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	1	0.0	100	3.533040259886033	34.22787121158122	22.2061287687054	0.7671899446052673	0.093443524	4.243799999999439e-05	2.90973122267147e-09	4.243799999999439e-05	0	0.0	100	34.22787121158122	22.2061287687054	0.7671899446052673	3.33	0.5307747220309094	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	2	0.0	100	3.5330281089319415	34.22745531281627	22.205877048554168	0.7671873060591115	0.093449356	5.180600000000607e-05	4.3881797086969955e-09	4.164500000000923e-05	0	0.0	100	34.22745531281627	22.205877048554168	0.7671873060591115	3.39	0.5156879845086711	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	3	0.0	100	3.5330646605364593	34.22870640409107	22.20662893115708	0.7671952431391849	0.093447434	6.246099999999844e-05	6.103726625714023e-09	3.9022999999993314e-05	0	0.0	100	34.22870640409107	22.20662893115708	0.7671952431391849	3.37	0.53843822706024	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	4	0.0	100	3.5330202012682914	34.2271846546822	22.20550240312413	0.7671855889317675	0.093451705	6.809100000000094e-05	7.554978100370271e-09	3.971899999998977e-05	0	0.0	100	34.2271846546822	22.20550240312413	0.7671855889317675	3.24	0.5134992945996494	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	5	0.0	100	3.5330156235152725	34.22702797144294	22.20564275405546	0.7671845948853296	0.093453274	7.025899999999597e-05	8.003846162800282e-09	3.966100000001122e-05	0	0.0	100	34.22702797144294	22.20564275405546	0.7671845948853296	3.19	0.5250249942486196	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	6	0.0	100	3.5330520565674894	34.22827498925645	22.20633386212396	0.767192506222098	0.093454247	8.04039999999956e-05	8.716524586243968e-09	3.946599999999606e-05	0	0.0	100	34.22827498925645	22.20633386212396	0.767192506222098	3.44	0.5471181941880738	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	7	0.0	100	3.5330348195185755	34.227684999891075	22.205675488960186	0.7671887632444842	0.093455515	8.197000000000212e-05	8.618131770488595e-09	4.393999999999527e-05	0	0.0	100	34.227684999891075	22.205675488960186	0.7671887632444842	3.33	0.5188702951970822	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	8	0.0	100	3.5330174140764488	34.227089257085275	22.205291549815254	0.7671849837007488	0.093455529	8.158999999999651e-05	8.323540189506835e-09	3.86429999999853e-05	0	0.0	100	34.227089257085275	22.205291549815254	0.7671849837007488	3.5	0.5430689031740235	0.0	0.0
p01-s02-c0021-v210-m010-g250-sb0001	p01-s02-c0021	c0021	sb0001	9	0.0	100	3.533009462484964	34.226817098335836	22.204667165092875	0.7671832570345968	0.093459941	8.213999999999916e-05	8.962682615715486e-09	3.560699999999935e-05	0	0.0	100	34.226817098335836	22.204667165092875	0.7671832570345968	3.31	0.5278981814942416	0.0	0.0
