run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	source_role	source_run_id	D0_tail_mean	D0_tail_sd	D1_tail_mean	D1_tail_sd	D2_tail_mean	D2_tail_sd	evenness_tail_mean	evenness_tail_sd	TV_tail_mean	TV_tail_sd	TV_51_75_mean	TV_76_100_mean	TV_late_change
p01-s03-c0052-v210-adaptive-g1000-sb0001	p01-s03-c0052	c0052	sb0001	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0001	100.0	0.0	29.47137902647511	1.5553499819815462	20.987670859725167	1.3653696060579417	0.7344035976160622	0.011470302726504815	0.21578291876000003	0.02051624661174347	0.21079339528000002	0.22077244224	0.009979046959999988
p01-s03-c0052-v210-adaptive-g1000-sb0002	p01-s03-c0052	c0052	sb0002	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0002	100.0	0.0	28.52711316299759	1.7739924787245143	19.760854166081185	1.6711877019356138	0.7272176643662359	0.013501842077669973	0.21507805576	0.02110110329812215	0.21575394203999998	0.21440216948	-0.001351772559999992
p01-s03-c0052-v210-adaptive-g1000-sb0003	p01-s03-c0052	c0052	sb0003	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0003	100.0	0.0	28.92769626280156	2.5712196255703805	20.048100605695783	2.5091132573664625	0.729816952743076	0.019298149463584133	0.19980815474	0.022996742991487126	0.21052371652	0.18909259296000003	-0.02143112355999996
p01-s03-c0052-v210-adaptive-g1000-sb0004	p01-s03-c0052	c0052	sb0004	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0004	100.0	0.0	26.162282984712164	1.6952800586717898	17.546746515887563	1.7656401696889057	0.7083971411581512	0.013933439357607798	0.21934824474	0.01882296872628479	0.21743430004	0.22126218944	0.0038278894000000063
p01-s03-c0052-v210-adaptive-g1000-sb0005	p01-s03-c0052	c0052	sb0005	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0005	100.0	0.0	27.425679214088703	1.5120055954026625	18.495282637285662	1.5190818011407963	0.7187526706995331	0.01204530416855921	0.2012745247	0.020647486608175548	0.2019034822	0.20064556719999999	-0.001257915000000026
p01-s03-c0052-v210-adaptive-g1000-sb0006	p01-s03-c0052	c0052	sb0006	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0006	100.0	0.0	27.825202636900826	2.143935231090175	19.532206091047854	1.6327524532803273	0.7215780799263324	0.016922394475767925	0.19617214744000003	0.021145424896484643	0.19766171976	0.19468257512	-0.0029791446399999866
p01-s03-c0052-v210-adaptive-g1000-sb0007	p01-s03-c0052	c0052	sb0007	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0007	100.0	0.0	27.754680704277835	1.3092100386393069	19.06146207818212	1.1307139217746074	0.7214300163713466	0.010289364987793889	0.22173367987999998	0.023747177770342513	0.21769989639999998	0.22576746336	0.008067566960000022
p01-s03-c0052-v210-adaptive-g1000-sb0008	p01-s03-c0052	c0052	sb0008	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0008	100.0	0.0	26.11931038114229	1.8027900122260963	17.918962284279885	1.4088963424128185	0.7079870886631439	0.014698301270559362	0.21521939929999997	0.018149351458209607	0.20953292680000002	0.2209058718	0.011372944999999968
p01-s03-c0052-v210-adaptive-g1000-sb0009	p01-s03-c0052	c0052	sb0009	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0009	100.0	0.0	28.082692572304563	1.210411908311251	19.67052003336759	1.6571927864881277	0.7240211362772431	0.009381361378678036	0.21382507156	0.015295123800201189	0.21476396584	0.21288617727999998	-0.00187778856000001
p01-s03-c0052-v210-adaptive-g1000-sb0010	p01-s03-c0052	c0052	sb0010	H-by-B	100	5	500	0.5	0.5	0.1	new-simulation	p01-s03-c0052-v210-adaptive-g1000-sb0010	100.0	0.0	28.090976389328258	1.705656840212469	19.48580821703964	1.550879595005288	0.7238892964577631	0.013232857399610456	0.20829464177999998	0.019331045703859177	0.20488423728000002	0.21170504628	0.006820808999999983
