run_id	cell_id	cell	seed_block_id	panel	H	B	HB	alpha_target	alpha	m	generation	source_role	source_run_id	D0	shannon	simpson	D1	D2	evenness	TV	turnover	realized_host_feedback	mean_adult_richness	mean_adult_gene_diversity
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	15	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.415702179537318	0.956541598979647	30.43831508742757	23.010510661256635	0.7417103041989836	0.26506432399999996	0.10805806799999998	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	16	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.389141832826105	0.9541849991956051	29.64050484458255	21.826912199989984	0.7359427981919252	0.262882679	0.11939303900000002	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	17	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.390977249645347	0.9543557985050787	29.694957482061998	21.908587887363247	0.7363413538902198	0.27050353	0.09051985299999997	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	18	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.4390303193610627	0.9553201687769162	31.15673143629318	22.38146323801131	0.7467759453982437	0.254468857	0.103543346	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	19	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3918595744195823	0.9518260975210289	29.721169640836315	20.75812729592586	0.7365329482805683	0.29573098399999986	0.09956561300000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	20	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.358291788218276	0.9500532306274182	28.740054823539282	20.021314943123183	0.7292437961221006	0.300490072	0.128057119	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	21	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.2915359204587697	0.9459538386146038	26.884123837426856	18.502701660329382	0.7147479436207922	0.314775252	0.08241442200000001	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	22	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3206156812575123	0.9499922571361791	27.677385761521336	19.996903334012902	0.7210625334457724	0.30311226999999996	0.12868189999999996	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	23	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3617223420452755	0.953645816245778	28.838818438691394	21.5730257553919	0.7299887314205695	0.324433996	0.084645224	0.5	1.0	0.0
p01-s03-c0051-v210-adaptive-g1000-sb0001	p01-s03-c0051	c0051	sb0001	H-by-B	100	1	100	0.5	0.5	0.1	24	new-simulation	p01-s03-c0051-v210-adaptive-g1000-sb0001	100	3.3583372008957215	0.9537321224504127	28.74136001601467	21.613267194464626	0.7292536573597121	0.27657567499999997	0.090288382	0.5	1.0	0.0
