cell_id	cell	panel	H	B	HB	alpha_target	alpha	m	response	n	mean	sd	ci90_low	ci90_high
p01-s03-c0055	c0055	H-by-B	1000	1	1000	0.5	0.5	0.1	TV_tail_sd	12	0.00832265420667225	0.0020631412565006455	0.007253065472377931	0.009392242940966567
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	D1_g100	12	33.2824842562878	1.4653280661946249	32.52281819527102	34.04215031730458
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	D2_g100	12	21.858010994599766	1.2342729114672346	21.218130231714355	22.497891757485178
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	evenness_g100	12	0.7609137741208273	0.009604358344119816	0.7559346126346089	0.7658929356070456
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	TV_g100	12	0.07501318575	0.006186326588562698	0.07180602521024372	0.07822034628975628
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	TV_tail_mean	12	0.07521746205833334	0.002728627056061203	0.0738028673232138	0.07663205679345288
p01-s03-c0056	c0056	H-by-B	1000	5	5000	0.5	0.5	0.1	TV_tail_sd	12	0.007177575637742787	0.0009818973992402884	0.0066685332281883275	0.007686618047297246
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	D1_g100	12	33.25772903194159	0.7720040111791413	32.857501083135126	33.65795698074805
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	D2_g100	12	21.79864398375075	0.7263226828660818	21.42209848226936	22.175189485232142
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	evenness_g100	12	0.7608926196771711	0.005044083858562809	0.7582776289425545	0.7635076104117878
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	TV_g100	12	0.06448964866666666	0.005876076879268055	0.06144333004349465	0.06753596728983868
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	TV_tail_mean	12	0.06182453469333333	0.002426883130341207	0.06056637224445446	0.06308269714221221
p01-s03-c0057	c0057	H-by-B	1000	10	10000	0.5	0.5	0.1	TV_tail_sd	12	0.0056120936851487765	0.001160101541769064	0.005010665384588169	0.006213521985709384
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	D1_g100	12	33.97218203561212	0.3517363991707633	33.7898322867479	34.15453178447634
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	D2_g100	12	22.13897696377501	0.354029076789552	21.95543862826182	22.322515299288202
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	evenness_g100	12	0.7655510828703306	0.0022434479800869846	0.7643880182096265	0.7667141475310346
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	TV_g100	12	0.03117310183333333	0.004343193005128091	0.028921472045739367	0.033424731620927295
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	TV_tail_mean	12	0.031499344213333336	0.0016759280760780715	0.030630497359530866	0.0323681910671358
p01-s03-c0058	c0058	H-by-B	1000	50	50000	0.5	0.5	0.1	TV_tail_sd	12	0.002892645666119289	0.0005511098475147047	0.002606935280365	0.003178356051873578
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	D1_g100	12	34.05883293281275	0.43040547092856524	33.835698990125444	34.28196687550005
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	D2_g100	12	22.109735737745343	0.34756128507428685	21.92955048197529	22.289920993515395
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	evenness_g100	12	0.7660990278966019	0.0027388779693946776	0.764679118808244	0.7675189369849598
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	TV_g100	12	0.028601983583333334	0.0030964793919512554	0.0269966841579207	0.030207283008745967
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	TV_tail_mean	12	0.029453492895000002	0.001182485775872926	0.02884045999657298	0.030066525793427026
p01-s03-c0059	c0059	H-by-B	10000	1	10000	0.5	0.5	0.1	TV_tail_sd	12	0.0027553860882826874	0.0006749152754901878	0.0024054915897877777	0.003105280586777597
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	D1_g100	12	34.03357030718891	0.27381675336291594	33.891616229282114	34.175524385095706
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	D2_g100	12	22.116192004208596	0.26154429262217443	21.980600304887854	22.251783703529338
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	evenness_g100	12	0.765947316121608	0.0017464996817709987	0.7650418830213853	0.7668527492218308
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	TV_g100	12	0.024520672083333334	0.0023668039200311457	0.02329365633675149	0.025747687829915177
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	TV_tail_mean	12	0.02439159079	0.0008725045680986154	0.023939260609641206	0.024843920970358795
p01-s03-c0060	c0060	H-by-B	10000	5	50000	0.5	0.5	0.1	TV_tail_sd	12	0.0024591703455537147	0.00046567235393289605	0.0022177530882187776	0.0027005876028886517
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	D1_g100	12	34.198337535529426	0.26220652368449354	34.06240251755247	34.33427255350638
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	D2_g100	12	22.17396352004454	0.23458567013880052	22.052347906369633	22.29557913371945
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	evenness_g100	12	0.7669966513292813	0.0016638810454359704	0.7661340499849494	0.7678592526736132
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	TV_g100	12	0.019534982916666672	0.001815093444440332	0.018593988937826017	0.020475976895507328
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	TV_tail_mean	12	0.01964584948	0.0006111939800778777	0.019328989840118334	0.01996270911988167
p01-s03-c0061	c0061	H-by-B	10000	10	100000	0.5	0.5	0.1	TV_tail_sd	12	0.001784899650431029	0.00048601160512394233	0.0015329379701830316	0.0020368613306790267
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	D1_g100	12	34.219027242399285	0.1383263080096149	34.147315109147414	34.29073937565116
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	D2_g100	12	22.196268022088066	0.08864680093532895	22.15031110114874	22.24222494302739
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	evenness_g100	12	0.767132204673802	0.0008772870556050846	0.766677395121397	0.7675870142262071
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	TV_g100	12	0.009908125750000005	0.0009048544937462322	0.00943902448529644	0.010377227014703571
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	TV_tail_mean	12	0.00980199119	0.00034946201777456967	0.009620820542523625	0.009983161837476374
p01-s03-c0062	c0062	H-by-B	10000	50	500000	0.5	0.5	0.1	TV_tail_sd	12	0.0009691093123199013	0.0001770875977201585	0.0008773022686151037	0.001060916356024699
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	D1_g100	12	34.227920618960724	0.0	34.227920618960724	34.227920618960724
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	D2_g100	12	22.205976549506016	0.0	22.205976549506016	22.205976549506016
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	evenness_g100	12	0.7671902580535775	0.0	0.7671902580535775	0.7671902580535775
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	TV_g100	12	0.0	0.0	0.0	0.0
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	TV_tail_mean	12	0.0	0.0	0.0	0.0
p01-s03-c0063	c0063	alpha-by-m	1000	10	10000	0.0	0.0	0.0	TV_tail_sd	12	0.0	0.0	0.0	0.0
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	D1_g100	12	34.227926748561764	0.00039695020419453983	34.22772095874241	34.22813253838112
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	D2_g100	12	22.206038837516246	0.0003132162812426367	22.2058764576478	22.20620121738469
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	evenness_g100	12	0.7671902969273288	2.5183066216925463e-06	0.7671889913684469	0.7671916024862107
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	TV_g100	12	4.01286666666657e-05	5.4567524196830655e-06	3.7299737287479275e-05	4.295759604585212e-05
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	TV_tail_mean	12	3.470383333333275e-05	3.3036529556825836e-06	3.299112947833371e-05	3.6416537188331786e-05
p01-s03-c0064	c0064	alpha-by-m	1000	10	10000	0.0	0.0	0.001	TV_tail_sd	12	3.4520277959452937e-06	1.3016658125695414e-06	2.7772087138520626e-06	4.126846878038525e-06
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	D0_g100	12	100.0	0.0	100.0	100.0
p01-s03-c0065	c0065	alpha-by-m	1000	10	10000	0.0	0.0	0.01	D1_g100	12	34.228067113699275	0.0012237632645904788	34.227432681424155	34.228701545974396
